day_of_week,day_name,total_trips,avg_duration_min,avg_distance_km,total_revenue,avg_fare_amount,is_weekend
1,Sunday,3949167,16.494511678032353,4.177485862208411,84447465.72999914,21.38361475470628,Weekend
2,Monday,4204428,16.960773536852106,3.757683489882574,84688075.06999937,20.142591351308518,Weekday
3,Tuesday,4950178,17.013891035837545,3.338669724603836,95079141.69999906,19.20721673038809,Weekday
4,Wednesday,5378546,17.302383647922753,3.2954572034895877,104064101.21999854,19.347998737948608,Weekday
5,Thursday,5691552,17.76376571803268,3.371932912147682,112509911.01999898,19.767878958146913,Weekday
6,Friday,5764079,17.06903096747989,3.388472517465505,111253386.56999882,19.30115575619259,Weekday
7,Saturday,5611470,15.99243665028951,3.3721877208645825,107141308.27999938,19.093269371483654,Weekend
